Dokument;Kategorie;Beschreibung;Datei
Prospekt Deutschland;Prospekt;Unter anderem auf dem deutschen Markt erscheinendes Prospekt;Deutsches -Prospekt.pdf
Prospekt Schweiz;Prospekt;Unter anderem auf dem schweizer Markt erscheinendes Prospekt;
TUEV-Rheinland;Musterbericht;Musterbericht TÜV Rheinland;TUEV-Rheinland-Musterbericht.pdf
Service Informationen; Werkstatt-Information;Technische Service Informationen;TechnischeServiceInformation.pdf
Einlegeblatt; Werkstatt-Information;Einlegeblatt;Einlegeblatt.pdf
Ersatzteilliste; Werkstatt-Information; Capri Turbo-Ersatzteilliste;WTSparePartsList.pdf
 Werkstatt-Information; Werkstatt-Information; Werkstatt-Information;Werkstattinformation-V2.pdf
Innenbelüftete Scheibenbremse;Einbauanleitung;"Einbauanleitung Nr.: 18-76
Innenbelüftete Scheibenbremse Anhang aus Werkstatt-Information";
RS Vorderachse Capri II;Einbauanleitung;"Einbauanleitung Nr.: 70-78
RS Vorderachse Capri II";
Große Verbreiterung Capri ´78.;Einbauanleitung;"  Einbauanleitung Nr.: 78-78
Große Verbreiterung Capri ´78.";
RS Fussstütze Capri.;Einbauanleitung;"  Einbauanleitung Nr.: 89-79
RS Fussstütze Capri.";
RS Heckspoiler Capri (turbo);Einbauanleitung;"  Einbauanleitung Nr.: 117-81
RS Heckspoiler Capri (turbo)";Einbauanleitung-117-81-RS-HeckspoilerCapri(turbo).pdf
Frontspoiler Turbo - Capri;Einbauanleitung;"Einbauanleitung Nr.: 118-81
Frontspoiler Turbo - Capri";
RS-Lenkrad Alle PKW;Einbauanleitung;"Einbauanleitung Nr.: 89-79
RS-Lenkrad Alle PKW";
